sc	cs	s	cs	c	cs	c	c	sc	cs	c	c	cs	cs	cs	cs	cs	cs	cs
int	String	String	int	String	int	String	String	int	List	String	String	map	int	int	int	int	String	String
sn	name	dressName	quality	desc	value	icon	pic	type	component	normalSkin	meetSkin	props	effectTime	costType	costValue	goodsId	iconUrl	url
装备模版id	装扮名称	装扮类别	品质	描述	价值	icon路径	图片路径	类型(1:衣服Ω2:帽子Ω3:眼镜Ω4:项圈Ω5:背包Ω0:套装)	类型参数	套装换皮肤	套装换皮肤	属性值(1:心情值上限，2:饱食度上限; 3:降低心情值下降速度;4:降低饱食度下降速度)	有效期(单位Ω分钟)	续费消耗货币类型	续费消耗货币数量	对用的商品Id	icon路径	道具图片的url
400081	小画家上装	clothes	0	有效期：永久	36000	resources/item_clothes/clo_008_1.png	resources/makeup_clothes/clo_008_1.png	1				1Ω60	-1	3	1200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_008_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_008_1.png
400082	小画家帽子	hat	0	有效期：永久	36000	resources/item_clothes/clo_008_2.png	resources/makeup_clothes/clo_008_2.png	2				2Ω75	-1	3	1200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_008_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_008_2.png
400091	粉红连衣裙	clothes	0	有效期：永久	36000	resources/item_clothes/clo_009_1.png	resources/makeup_clothes/clo_009_1.png	1				1Ω60	-1	3	1200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_009_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_009_1.png
400092	紫纹蝴蝶结	hat	0	有效期：永久	36000	resources/item_clothes/clo_009_2.png	resources/makeup_clothes/clo_009_2.png	2				2Ω75	-1	3	1200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_009_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_009_2.png
400094	粉红领结	necklace	0	有效期：永久	36000	resources/item_clothes/clo_009_4.png	resources/makeup_clothes/clo_009_4.png	4				4Ω0.05	-1	3	1200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_009_4.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_009_4.png
400095	小仙女之翼	cloak	0	有效期：永久	36000	resources/item_clothes/clo_009_5.png	resources/makeup_clothes/clo_009_5.png	5				1Ω30|2Ω30	-1	3	1200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_009_5.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_009_5.png
400181	休闲衬衫	clothes	0	有效期：永久	36000	resources/item_clothes/clo_018_1.png	resources/makeup_clothes/clo_018_1.png	1				1Ω60	-1	3	1200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_018_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_018_1.png
400182	大红蝴蝶结	hat	0	有效期：永久	36000	resources/item_clothes/clo_018_2.png	resources/makeup_clothes/clo_018_2.png	2				2Ω75	-1	3	1200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_018_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_018_2.png
400051	学生上装	clothes	1	有效期：永久	72000	resources/item_clothes/clo_005_1.png	resources/makeup_clothes/clo_005_1.png	1				1Ω150	-1	3	2400	2001	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_005_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_005_1.png
400053	红框眼镜	glasses	1	有效期：永久	72000	resources/item_clothes/clo_005_3.png	resources/makeup_clothes/clo_005_3.png	3				3Ω0.08	-1	3	2400	2002	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_005_3.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_005_3.png
400101	暗夜法袍	clothes	1	有效期：永久	72000	resources/item_clothes/clo_010_1.png	resources/makeup_clothes/clo_010_1.png	1				1Ω150	-1	3	2400	2008	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_010_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_010_1.png
